,komentarz,nie,tak,klasa
44,"szkoda że nie pękł, byłby spokój raz na zawsze",0,1,1
45,SAM JESTEŚ ŚWIR!!!!,3,2,1
46,"i bardzo dobrze ze mu babe wybzykali,rogacz,rogacz",7,4,1
47,Bagno to masz w tym pisowskim łbie...,2,1,1
48,"Hitler mówił to samo w 1933r, na szczęście kaczyński to tyran kieszonkowego rozmiaru
znowu czarnecki coś bredzi? ten dupojeździec? ile on partii zaliczył?  idee nieważne, koryto - tak",6,5,1
49,kartofel jeba.y,0,3,1
50,"ty czereśniaku, a gdzie Twoja żałoba to poległych błogosławionym Lechu i błogosławionej Maryji....",0,0,1
51,"Ta Gasiuk z Petru to tam ten tego, co widać gołym okiem ....",4,1,1
52,Wynocha POwskie szumowiny. Brawo PIS,1,0,1
53,... WON Z FORUM.,1,1,1
54,Proszę rząd o posprzątanie tego bydła w telewizji polskiej-płacę abonament.,435,256,1
55,"To ten rudzielec buntuje władze Europy przeciwko Polsce. W Stanach za zdradę już by nie istniał, zdrajca za stołek...",404,273,1
56,a to łachudra ruda,83,45,1
57,"Lechu nic się martw pisdowcami, antysemicką polską bandą, psycholami rydzyka, zwykłymi prymitywnymi głupimi polaczkami na Zachodzie zawsze byłeś i zostaniesz Wielki!",6,0,1
58,"Bardzo dobrze, że Polacy popierają Pana Petru. Niektórzy stwierdzają, że jak Żyd to nie należy na niego głosować. Faktycznie ojciec Pana Petru nazywał się Petrubaun. Ale Pan Ryszard jest już spolszczonym Żydem. Jego dzieci były już ochrzczone i czują się Polakami. Żydzi są bardzo zdolnymi ludźmi, a szczególnie w dziedzinie handlowej i ogólnej. Ja przewiduję, że Pan Petru, szef NOWOCZESNEJ będzie jeszcze Prezydentem lub Premierem naszego kraju.",10,1,1
59,skad sie biora ludzie ktorym przeszkadza reporter ktory atakuje polityka bo co swiete krowy z PISu i PO i innych gownianych partyjek . DO was to mowie glaby zaslepione zycie realne wlasnie tak wyglada jak to pokazuja w TV wolnej a nie jak to pieknie koloryzuja lub dramatyzuja zaleznie jak im to jest potzrebne politycy . Wiec ruszcie mozgi i niech do was dotrze co sie dzieje po co takie dzialania . Skoro sie krzyczalo ze w kraju dramat to teraz trzeba szybko opanowac media zeby za 4 lata wszystko bylo pieknie i cudownie . MYSlcie troche !!!!!!!!!,3,0,1
60,"Ciekawa będzie konkurencja między TVP-PiS , TV Trwam i TV Republika o telewidzów PiS-orów ?",2,0,1
61,"Maniek , tak jak durną masz ksywę ,tak durnie myślisz i piszesz . Współczuję ale dobra wiadomość ,to się leczy !!",5,3,1
62,ten zarosniety alimenciarz ...masakra,3,2,1
63,Ten rejon świata jest nieuleczalnie chory i żadne gdybanie tam nie pomoże a mało tego niedosc ze chory to jeszcze zaraża,0,6,1
64,"tu jest POLSKA i rządać to se możecie,ale u siebie. Wy CHACHŁY",38,37,1
65,"zawodowiec, ty to pewnie jesteś taki bezrobotny Leon Zawodowiec z Koziej Wólki ... no to i nie wiesz jak się pracuje, no ale ok, głupi to i wybaczamy",1,0,1
66,"ryży zdrajca pod trybunał, największy szkodnik społeczny;",158,99,1
67,"Szkoda, że tylko prawie pękł...",3,9,1
68,Rzeczywiście bardzo śmieszne... Pan JK zachowuje się jak chłopczyk w spodenkach. On ma coś z głową/ PATRZCIE LUDZIE KOGO WYBRALIŚCIE. WSTYD !!!,5,10,1
69,"Nazwałbym go spasionym knypkiem ale tego nie zrobię i nazwę go ""Polakiem gorszego sortu""",7,6,1
70,"ty tepa blondynko religija w szkolach jest finansowana z kasy podatnikow a ja sie z tym nie zgadzam I co ty na to. nie podoba ci sie sztuka to na nia nie idz ,mamy k.....wa wolna polske I moge ogladac co chce.M",1,0,1
71,Jarek przeczytal kawal o sexie czyli :opozycja zadala pytanie jarkowi o sex partnerski a ten odwrozil kota ogonem,1,1,1
72,"Poszła łajza poskarżyć się do Niemca. Kim to babsko jest??? Hejt to tylko pieszczoty dla takiej kanalii, dawniej golono łby!!!",1,0,1
73,"WOLNA POLSKA
  PYTAM  CO MA GENERAL NA SUMIENIU, ZE PODDAJE SIE DYMISJI ???!!OBECNIE  NIE BEDZIE SŁUŻY PRAWICOWEMU RZĄDOWI TO JAKIEMU,KOMU  SŁUŻYŁ PRZEDTEM   ,NIEMCOM RUSKIM ???
ps. GENERAL POslugiwacz",1,8,1
74,"Prawo szariatu to wspaniała sprawa.
Kobietę należy traktować na równi z kozą i psem.
Europejkach w kitach się poprzewracało.
Europejscy mężczyźni również powinni tak traktować kobiety jak muzułmanie.
Niech w końcu wróci normalność.",2,1,1
75,Siedzi pewnie na redtubie i zobaczyl jak go koledzy z partii fistuja...,2,1,1
76,Co ty napisał wsiowy capie ?,2,0,1
77,"Kaczyński jest kretynem i nie budzi to już wątpliwości,zastanawiajace jest tylko jak mógł skupić  taką ilość podobnych do siebie przypadków ?!!!",11,8,1
78,Czyli jak nie popieram moherów to nie jestem Polakiem w jesteście chorzy z nienawiść do ludzi mających swoje zdanie. Gwoli ścisłości jestem apolityczny.,3,1,1
79,"Petru najadł sie starych swetrów i bredzi,,,,wstyd popaprańcy,,,,,",43,20,1
80,Czy dziennikarze to święte krowy te resortowe zidokomuny to chyba tak,104,50,1
81,Jeszcze jeden sprzedawczyk i konfident!!!!!!!!!!!,22,8,1
82,"do ""Ja""! Szkoda POmiocie,że zabierasz głos POpaprańcu!",8,10,1
83,"Przychodzą Jarka ""lachoroby"".",1,0,1
84,Nie wierze w te sondaże. Platforma ma na pewno więcej niż ta śmieszna partyjka nowoczesna z tymi pseudo posłami. Dla mnie PO zawsze najlepsze.,3,1,1
85,to asz tylu jest uposledzonych umyslowo tragedja,11,6,1
86,Zaraz pewnie wyleje się jad z pod palców katolików,3,1,1
87,jeszcze jeden czopek starał się wejść w prezesa d....e tylu już tam ma że musiało to wyglądać śmiesznie,0,3,1
88,i dalej szczujnia...,2,2,1
89,To sie umyj,4,3,1
90,Pajac polityczny !!!!,523,272,1
91,"Oj pełofilki jesteście już zerem nawet w oczach narodu , jak jesteście tacy dumni ze swoich idoli z peło i peeselu to wyjdźcie w południe na główny rynek swojego miasta i krzykiem to oznajmiajcie , ciekaw jestem jak długo będziecie stać na własnych nogach i o własnych siłach .",1,1,1
92,"Ciekawe czy się tak będzie śmiał jak zawiśnie za jaja na latarni przed belwederem,",1,1,1
93,To na sponsorowane sondaże idą nasze podatki ?????? a może na opłacanie hejtów pisiurom ???? PARANOJA !!!!,3,2,1
94,"Nie pracowali ani dla Polski ani dla Polaków!!! Pracowali dla PO myleńców, sprzedawczyków i kolaborantów. Oddać Polskę Polakom - Proszę",21,10,1
95,Precz z Targowicą. Dosyć tych zdrajców!,156,94,1
96,Ojj tuSSku szykujesz prawdziwe baty na siebie i na swoją rodzinę od Polaków .,22,9,1
97,oglądał nie striptiz pseudo profesor tylko striptiz swego kota,0,3,1
98,jaki z ciebie facet jak ty jeszcze prawiczek kotki się nie liczą,2,4,1
99,tylko tyle umiesz tuku,4,0,1
100,Spadaj na drzewo !!!! opłacany ciemny klikerze. kwa kwa,20,4,1
101,ja pie...... Kurski ostatni met jakiego nie moge zniesc . Zero honoru ten czlowiek posiada . Nie wiem kto wiekszym oszolomem on czy Macierewicz albo jeszcze jeden odpad Niesiolowski . Myslalem ze najbardziej niecierpie PO ale te z..... to juz pobily wszystkie rekordy . Czyli podsumowujac TVP chca miec dla siebie a TVN czy Polsat klamia wedlug ich wersji . wnioski same sie nasuwaja zero niecenzurowanej info dla ludzi . Boszeee i ten ....... z Gdanska .,3,0,1
102,"Narodowi bolszewicy w natarciu ! Zachłysnęli się władzą. Za chwilę się nią udławią, Tylko Polski szkoda !",1,0,1
103,"nigdy nie miałem wątpliwości,że to czubek.",8,16,1
104,CIEKAWE!!!!!!!!!!!!!!!!!!!!A KTO NIBY TERAZ POPIERA TYCH PiS-owskich PSYCHOPATÓW OPRÓCZ MOHERÓW?????????????,8,0,1
105,"Czy w Wrocławiu tez są sfrustrowane nieroby, które zamiast mieć pretensje do rodziców, że im liche geny dali i sobie w życiu nie radzą, szukają winnych wszędzie tylko nie tam. Ja myślałam , że Wrocław to już mentalnie  taka prawie Europa. A tu takie same barany jak w Warszawie",3,1,1
106,"To przede wszystkim śmiech typu Świecie nad Wisłą. Po drugie ja wiem czemu się tak durnowato śmieje. Filmik oglądał gdzie ksiądz potrącił staruszkę, która nie chodziła do kościoła",1,0,1
107,"no tak śmiać sie nie można , tylko płakać nad tym co POwce zrobiły z polskim narodem ,jak wyprali im mózgi i teraz nie potrafią sami logicznie myśleć .JA  też jestem szczęsliwy że era POwców się skończyła  HUUURARAAAA",3,2,1
108,Na starosc chyba glupiejesz?,1,0,1
109,PIERDOJNAC BOMBE A I PO KLOPOCIE A URATUJE SIE SWIAT OD MORDERCOW,1,0,1
110,"Spójrz w lustro. A jaki Ty masz charakter 
.",1,0,1
111,"BRAWO Panie Martinie --- cały ten pisowski rządzik DO DYMISJI i to szybko !!! a szydło to WINNA W ŁEB SE STRZELIĆ, jeszcze szybciej !",3,1,1
112,Co te dwa puste zakute łby to jest Gliński i Lisicki robią w tym programie jak na nich patrzę to mnie na sraczkę zbiera.,2,0,1
113,"Ten zdrajca po zakończeniu kariery w Brukseli do Polski już nie wróci, czeka go tu Trybunał Stanu a może nawet i więzienie za Smoleńsk. On o tym dobrze wie, teraz chroni go immunitet to przyjeżdża. Niemcy za zasługi jakie dla nich zrobił w ""wykańczaniu Polski"", przygarną go do siebie.",158,90,1
114,to przerazajace co sie tu wypisuje!!!!glupi i prymitywny narod,5,2,1
115,"A kogo to obchodzi z czego się śmiał! Wyglądał okropnie, i te krótkie rączki splecione wysoko przed sobą jak...........................!!!!! Straszny widok!!!!!!!!!!!!! A to przecież było w sejmie, a nie w knajpie!!!!!!!!!",1,2,1
116,"RUDY ZDRAJCA SRA WE WŁASNE GNIAZDO,RUDA TARGOWICA,LEDWO  DUKA PO ANGIELSKU,ZDRAJCA",7,4,1
117,jego głupota,1,3,1
118,"""KE i PE to klasyczny cyrk polityczny, taki Monty Python dla ograniczonej intelektualnie, pozaprzeszłej widowni"" Ale nie dla lemingów i ćpuna maleńczuka",2,0,1
119,strasznie kłamliwe babsko - całe szczęście,1,0,1
120,Widzę ze większość komentujących to prawdziwi katolicy tacy poprawnie pisowscy siać zło płuc jadem a później do kościółka wysłuchać instrukcji od klechty. Tylko podziwiać choć cieszę się ZR takich tumanow robi się juz coraz mniej mohery zaczynaja madrzec a narybku jak na lekarstwo.,3,2,1
121,TYB SZKOPSKI PROSTAKU MOZESZ KRYTYKOWAC MARKEL WARA CI OD POLSKI  NIEUKU,54,24,1
122,"tu jest POLSKA i rządać to se możecie,ale u siebie. Wy CHACHŁY",38,37,1
123,"Sorry ale jak dla mnie to mały mściwy rozchwiany emocjonalnie człowieczek, zaciekły i zacięty w swej żałobie i gotowy po trupach osiągnąć cel.",13,15,1
124,"Oj nikt jeszcze niezgadl. Kaczuszka smieje sie do lez,ze..... Wszystkich wyborcow wystawili tylkiem do wiatru. Wiedzial Kaczynski,ze ludzie kupia wszystko co im powiedza. Oj oj smieje sie z NAS POLAKOW. ZE WYKIWAL WSZYSTKICH.",3,3,1
125,Biora pieniądze żeby takim jak ty zamykac jape.,19,14,1
126,A przy Glińskim nie puszczać baków. On ma minę jakby ktoś właśnie puścił podkołdernika jadowitego.,2,1,1
127,WP przestańcie cytować profesora idiotę Glińskiego.,2,0,1
128,"Od ciebie już czuć , starucho!",41,40,1
129,"do KODurni, nie tylko zagrozone sa odcieci od koryta, od decyzyjnych rzadow. I z tym nie moga sie pogodzić.",9,7,1
130,"Zostali tylko dziennikarze tzw "" DYSPOZYCYJNI"" dla obecnej wladzy.
WYPISUJE SIE Z OGLADANIA TELEWIZJI PiS - OWSKIEJ..
Juz widac kolosalna zmiane w przekazie wiadomosci , mdlych i nic nie wyjasniajacych wywiadach. Jedyne  co powiadaja to "" Polacy nic sie nie stalo "" Szydlowa - "" to dobrze ze jestesmy teraz pod nadzorem unijnym "" Morawiecki - "" to dobrze ze obnizono nam rejting "" - eksporterzy zarobia. BZDETY I KLAMOLSTWA I PEWNOSC ZE GLUPI NSROD TO KUPI.",5,0,1
131,"""...część posłów wyszła z sali...""  SPISAĆ ICH NAZWISKA I WIĘCEJ NIE WPUSZCZAĆ NA SALĘ OBRAD!!! JAKO PODATNIK NIE MAM ZAMIARU NA DARMOZJADÓW WYCHODZĄCYCH Z SALI PŁACIĆ SWOICH PODATKÓW!!",45,13,1
132,"I dobrze bo chyba jest chora i ma Basedowa. Tak się zapienia, aż jej oczy wychodzą z orbit.",2,1,1
133,Kij jej na drogę .Wiadomośc na pierwszą strone .,2,1,1
134,"Oszołomy pisokatolorydzykowe nie zgadzają się na to, panie Schultaz. Polak katolik jest super i ma prawa, ale Niemiec katolik jest beeeeee !",15,5,1
135,"nich szubrawiec, zdrajca przejdzie do Polski to Polacy mu POdziękują!!!!!!!!!!!!!",32,17,1
136,TARGOWICA wstyd że ci ludzie są Polakami a sprzedają własny kraj. Można nie popierać PIS ale ludzie plucie na własny kraj co wiąże się z wymiernymi stratami ekonomicznymi dla 100% Polaków.,158,96,1
137,Za samo udzielanie wywiadów niemieckim gazetom powinni takim golić głowy.,2,1,1
138,kiedy Olejnik złoży wymówienie na bruk albo do Lisa nory,3,2,1
139,Ojej kartofel umie się śmiać dajcie Mu pamper sika bo się zmoczy,1,2,1
140,"cuchniesz niemytymi jajami, wyszoruj",5,0,1
141,"Mam nadzieję że Polacy zrozumieli że za szumem w UE stoi Donald Tusk chyba nikt nie uważa że partia popaprańców PO odda władzę bez zgrzytów. On sprzeda wszystko i wszystkich aby być u koryta obojętnie jakiego, byle była duża kasa.",54,25,1
142,"Pan Dębski to trenawał pisanie chyba w jakimś tygodniku milicyjnym? Do GAz Wyba proszę się nie starać, tam teraz przepełnienie. Co za g*wniana propaganda...",2,0,1
143,Większa część... całe 20%. Brawo. Faktycznie w ch.j dużo.,4,2,1
144,"Szacunek Pani Dominiko.
Jest Pani zbyt dobra by siedzieć pod butem miernot",7,6,1
145,"brawo ,gonic i tempic wszystko co zle ,a zlo pochodzi od zydow polskich ukarać ich wiezieniem bo to nie jest sztuka i zabraniam zydom występowania w polskim teatrze a w zydowskim to nich nawet i czosnek se do du--wpuchaja",3,0,1
146,"Rzecz w tym,że obecni Rosjanie to nie Słowianie, a mieszańce- kundle.Skundleni są z Czukczami,Buriat-Mongołami,Kabardinami i innymi wszelkiego rodzaju nacjami.",4,2,1
147,Dorzuć jeszcze Stalina i Hitlera będzie komplet obszczymurku .,3,0,1
148,Szkoda ze naprawdę nie pękł!!! :)))),135,214,1
149,"Ten Rzad powinien chodzic wszedzie w kominiarkach,bo wstyd patrzec w oczy swoim wyborcom.
Pani Szydlo czy tak mialo byc ?",1,1,1
150,maciorewicz puścił bąka i beknął,3,6,1
151,Nie. Bo JEST czubem!,2,0,1
152,wiem wiem.tobie blizej do putina i lukaszenki niz do merkel.szkoda ze pisobolszewia przeorala ci mozg i zrobila z niego sieczke.mysl samodzielnie!!!,1,0,1
153,Kozy tym szmatogłowym dać... A może nie? No bo czemu te biedne kozy są winne... Na podziurawione pontony i z powrotem do własnych domów!,5,680,1
154,Wypuscil baka!,0,5,1
155,A ten sklerotyk socjopatyczny wie kto to był ten sułtan?,0,1,1
156,Dostała widać miejsce na parkingu przy gierkówce. To akurat dla niej robota. A Glińskiego i POPiSiaków posłałbym do zbierania śmieci.,1,0,1
157,"Pan prezydent, który jest tak bogaty i nie potrafi przez prawników załatwić sprawy BOLKA, cienkiego bolka, jest żenujący w powołaniu przez IPN debaty. Obowiązuje domniemanie niewinności, ale tych dwóch - co nie ukradli księżyc - tylko tych co miał puścić w skarpetkach chodzą w salamandrach i dobrze zarobili na tej książce.",7,2,1
158,Kaczyńskiego bawi rekordowa ilość tępych Polaków,7,12,1
159,"szkoda,ze nie pekl.Bylby spokoj.",2,5,1
160,"Nie da się go w Polsce skazać.
To Volksdeutsch",10,3,1
161,D o n a l d    z d r a j c a    ! ! !  .,8,5,1
162,"Zero klasy,a wręcz obrazek durnia. Nic tak nie mówi prawdy o człowieku jak jego śmiech",4,5,1
163,"Pani Karolina wszędzie świetnie sobie poradzi, a widzowie dostaną zamiast niej oraz innych profesjonalnych i obiektywnych dziennikarzy, miłośników PiSu, którzy na rozkaz pajaca Kurskiego będą głaskać i wysławiać mądrość obecnie rządzących Polską szkodniów doprowadzających ten kraj do ruiny. Ręce opadają...",5,2,1
164,Od razu widać że yaro ma obrady sejmu w rowku.,1,3,1
165,"Nie  chcemy unii i dalszego wikłania naszych losów. tusk pod trybunał - zdrajcę . Dla własnych ambicji zniszczenia Kaczyńskiego gotów jest upierdzielić cały Naród
Precz z politykami takimi jak tusek",108,6,1
166,sprzedawczyk,108,6,1
167,A TY JESTES FRAJEREM,4,0,1
168,"~PIS=PZPR 

Obejrzał fragment nowych wiadomości w TVP PIS, też się uśmiałem :) / PO = gestaPO.",4,1,1
169,Panie Wenta zabierać Polskie pieniążki i żegnamy wyjazd do pana Szulca do widzenia !!!!!!!!!!!!!!,1,0,1
170,zacofane katolickie pół mózgi średniowieczne,4,3,1
171,Przyjdzie czas i na insekta Ziemca !!!przyjdzie i to wcześniej jak poźniej !!!,7,1,1
172,"Smieje sie z tych co na nich glosowali !
...PS NIE WIEDZIALEM ZE TO ""COS"" MOZE SIE SMIAC !!!",5,3,1
173,W telavivie już na nią czekają.,2,1,1
174,"dopóki takie zakłamane po-wskie kundle jak ten pismak stankiewicz będą wydawać taki bełkot dopóty będę całym sercem za tym co robi PiS. Żenada, żeby WP zatrudniała takich jednostronnych pismaków",1,2,1
175,i jej herszta jadosława kałczyńskiego zamkniemy  na kuracji w Tworkach,13,2,1
176,"Sprzedał Polskę a dzisiaj chce o niej dyskutować ,najlepiej by zrobił gdyby nie wracał do Polski nigdy więcej!!!!!!!",33,20,1
177,"Wiesław Dębski , sługus PO już chce rozliczać PiS chociaż oni dopiero zaczęli rządzić. Ty się lepiej dziadu zastanów, stoisz nad grobem i tyle w tobie nienawiści.",4,3,1
178,Nie Polacy wychodzili gamoniu. Co z po i nowoczesnej to nie Polacy to slugusy żydów.,1,0,1
179,"jestem Rasistka bo: nie lubię terroryzmu, bo uważam ze nie odpowiednim się pomaga w Europie, bo uważam ze każda kobieta ma prawo być tym kim chcę, ze ta banda malp z Syrii powinna walczyć o swój kraj, bo pragnę prawdy, i nie chem islamizacji eu, bo nie lubię Merkekl, Juncka ....",0,48,1
180,na drzewo! zielony liściu.,1,0,1
181,"czy nie było tez jeneralskiego dziennikarza,to synek reosrciak czy mąż",109,39,1
182,Ty ch .... już płaczesz :-)  bo oderwali. od koryta. he he he,5,2,1
183,"Wy POpaprańcy możecie się teraz tylko odszczekiwać.
Przez osiem lat obszczekiwaliście ludzi prawych, stawialiście
ich do kąta, szydziliście z Nich przez Popaprane media,
chcieliście Ich wykończyć psychicznie i fizycznie (katastrofa smoleńska).
Wszystkie wasze ""uchwały"" miały eksterminować Polaków.
Teraz naprawianie bagna, jakie zostawiliście dla Polaków, nazywacie zemstą.
Odczujcie, jak to smakuje być poniżanym i wyśmiewanym.",35,18,1
184,Nie polemizuje się z bredzącymi z nienawiści.,1,2,1
185,Zdrajca narodu polskiego!,11,5,1
186,"Widać pajace,co robicie podczas posiedzeń sejmu,pornusy też oglądasz,a może o kotach?",3,4,1
187,"Targowych, biegną do Niemców jak do Pana.
Nie jestem za spis Pio czy co. Ale nie lubię takiego g.na. Za przeproszeniem.",1,0,1
188,Czego można się spodziewać  po ZDRAJCY!!!,17,9,1
189,Panie Tusk pańskie szczytowanie nic do tej pory nie dało .I tak masz przechlapane w Polsce .,103,61,1
190,"Jarosław albo głupio się śmieje, albo jęzorem szuka resztki zębów  -  taki mały człowiek rządzi PIS-em i chce rządzić Polakami , NIESTETY TO MU SIĘ NIE UDA bo gorszy sort  DA RADĘ.",10,18,1
191,Folksdojcz czy inna zaraza ?,15,7,1
192,"Róbcie dalej zadymę na zachodzie KODziaże a Polacy pokarzą wam takiego faka, że nie wejdziecie do sejmu razem z PO.",1,0,1
193,Dla muzułmanów z Bliskiego Wschodu wszystkie białe kobiety- europejki czy amerykanki są pospolitymi q...mi. To wynika z zasad islamu.,11,1056,1
194,Pajac nakręcany przez Niemców .,11,2,1
195,czarna marionetka wyszła  z cienia i pierniczy trzy po trzy,1,0,1
196,a od ciebie je..ny mocheru zalatuje kulkami na mole!!!!!!!!!!!,10,9,1
197,"Boje się że rudy szczur namiesza.Zdrajca narodu chce zniszczyc Polske,bo to nie jego ojczyżna.On juz ma kupiony piękny dom z gruntami w Niemczech i tam zostanie ,więc mu nie zależy.",16,13,1
198,"Zaczęła sie kolejna transformacja i tworzenie nowej parti gdzie wylądują przy następnych wyborach to Nowoczesna. Ludzie zapomną o Unii Wolności, Platformie Obywatelskiej i dalej zagłosują na kaprawe mordki tych samych oszustów. Wariant awaryjny to stworzenie nowej partii z tymi samymi dzialaczami. To już się dzieje, ale liczę na rozsądek i uczciwość wyborców, ktorzy ocenią poprzednie i obecne rządy sprawiedliwie.",51,32,1
199,dla mnie ten gosc jest nikim i niczym,8,15,1
200,a mlaskał? a zaciskał wargi na sztucznej szczęce? Bo mu (jak i bratu) zawsze szuflada wypada...,0,0,1
201,"Kurczę... A szczęście było tak blisko.... Nie pękł . A mógł pęc.
:-D",2,6,1
202,"Polacy ale wy jesteście głupi, jedyny Rząd od 30 lat który chce coś zrobić dla nas w wam nie pasuje. Manipulują wami jak marionetkami ale to się zgadza one też nie mają mózgu.",1,0,1
203,Gliński to prostak i frustrat . Nie nadaje się w ogóle do rządzenia. Ośmiesza się cały czas . Nikt nie może już go słuchać . Nie wiem dlaczego dziennikarze zapraszają go do studia. Totalny wstyd.,1,0,1
204,Sam jestes smieszny z ptasim mozdzkiem,5,1,1
205,Smieje sie ztym glubkow PO tez sie smieje heeeee,1,1,1
206,"Kobieto w swoim życiu musiałaś się sporo nakraść i mierzysz wszystkich swoją miarą ,wszędzie widzisz złodzieji. Warto udać się do specjalisty.",55,31,1
207,"PiS szykuje poziom mediów adekwatny do poziomu i sprawności umysłowej swoich wyborców. Szympans przed kamerą byłby zbyt inteligentny, by reprezentować pisowski ""poziom"".",4,3,1
208,Zobaczył naga kobietę. Myślał że seks może być tylko z kotem. :)))),3,3,1
209,"kris debilny
ogląda tylko ruskie filmy
chłopina wymaga troski
skoro tak głupie wyciąga wnioski",4,2,1
210,PiS-da to dopiero śmiechu warte. Jeszcze trochę a będziecie spieprzać ja szczury z płonącego okrętu.,7,5,1
211,"Płynie tu jak zwykle pisowski ściek. Nie lubicie Wielowiejskiej czy Kraski? No to będziecie mieli  statywy do mikrofonu rodem z Torunia, gdzie Kaczor tokuje przez 40 minut a pytania  są   typu: Dlaczego ma pan rację? Lubicie tvp  liżydup pisowskich? ja nie  -  i  juz nie oglądam wiadomości i tvp info. Jak w stanie wojennym zresztą.",15,11,1
212,wychodzi oni tam koze czy krowe wydymał,2,23,1
213,obciagnięty penis petru zobaczył,2,1,1
214,Cale szczescie ze odeszla nie dosc ze bardzo brzydka to jeszcze natretna powodzena!,3,2,1
